Callsign, Origin, Destination
AFL1432,UUEE,UNBB
VKG394,EFHK,GBYD
CPA293,RJBB,LIRF
MHV64R,OMDW,LSGG
AIC143,VIDP,LFPG
TAM8179,LPPT,SBGR
MAC377,GMTT,LEBL
RJA117,OJAI,LFPG
IFA930,EDDN,OMDW
RYR3154,LIME,OJAI
SVR2455,UUBW,UCFM
RAM774L,GMMN,LFPO
AZA800,LIRF,DAAG
AFR566,LFPG,OLBA
CPA307,WIII,EIDW
TAM8111,LIRF,SBGR
AFL1418,UUEE,USSK
RYR3866,LROP,OJAI
DAH1022,DAAG,LFML
SVR892,OMDB,UUDD
SVR2463,UUBW,UAAA
JAI118,VABB,EGLL
SVR702,LKPR,USSS
BAW198,VABB,EGLL
RAM734,GMME,LFML
GFA003,OBBI,EGLL
BOS10,KEWR,LFPO
JAI122,VIDP,EGLL
IBE6849,LEMD,SAEZ
TVS1200,LKPR,OMDB
VLG7365,GMTT,LEBL
SIA326,KSFO,EDDF
THA924,RJBB,EDDM
SAS953,EKCH,KMIA
AAF035,LFPO,SBKP
TVF4801,DAAG,LFLL
AIC121,VIDP,EDDF
DAL47,EHAM,KJFK
DAH1010,DAAG,LFPO
DAH1231,LFPG,DAAG
DAL143,EHAM,KSEA
TCX1032,EGKK,GBYD
AIC135,VIDP,LEMD
VPCRA,OTBD,EGGW
BAW117,EGLL,KJFK
AAF707,LFML,DAAG
AIC157,VIDP,EKCH
PBD1854,UGTB,URRP
MEA252,LGAV,OLBA
EJM290,ESSA,KIAD
SAS939,ESSA,KLAX
MEA210,LFPG,OLBA
DAL107,EDDF,KJFK
DAH1036,DAAG,LFLL
AFL110,UUEE,KMIA
DLH454,EDDF,KSFO
AIC137,VIDP,LIMC
DAL173,LIMC,KJFK
ACA869,EGLL,CYYZ
ACA873,EDDF,CYYZ
DAL247,BIKF,KJFK
AFL106,UUEE,KLAX
KAL927,RJBB,LIMC
DAL43,LFPG,KMSP
DAL179,EHAM,KPDX
JAF4EM,LFBD,GMMN
DAH2006,DAAG,LEMD
DLH462,EDDF,KMIA
AFR636,LFPG,KIAH
TCX1622,EGBB,GBYD
DAL405,LFPG,KBOS
AIC111,VIDP,EGLL
RYR2SW,GMTT,LIME
SDM5733,UUWW,OMDB
ACA833,EBBR,CYUL
AFR456,LFPG,SBGR
BAW2546,EGKK,DAAG
ACA875,EDDF,CYHU
AFR125T,LFPG,GMME
DAH2024,DAAG,LIRF
DLH758,EDDF,VOMM
DAL259,EHAM,KBOS
AWC791,EGKK,GBYD
DLH492,EDDF,CYVR
AFR218,LFPG,VABB
N64NY,LFQQ,KCXP
DAL59,EGLL,KBOS
AFR1555,DAAG,LFPG
AFR374,LFPG,CYVR
AZA63KD,LIRF,KMIA
