Callsign, Origin, Destination
EDV4839,KATL,
FDA9321,,
SKW4214,KU42,
AAL2351,,KDFW
RABID68,,KEGI
AAL2546,,KLAX
OMAHA08,,19TE
SKW3274,KDFW,
CXA8473,,
UAL1221,,KLAX
TAL,,YBSS
DAL2403,KLAX,
DAL735,,KATL
VTM9987,,KPHX
NKS265,KACY,
SWQ3507,,KIWA
TAM4776,SBGR,
EDV4800,KATL,
BTK6880,,
LBQ225,KLZU,
UPS9734,KMIA,
ASH6031,,KIAH
KMI804,WSSS,
JBU813,KHPN,
JTE832,YPPH,
DAL1198,,KATL
EDV5100,KJFK,
N897MD,,1TN0
PBD420,,UUWW
PE282,YSSY,
JIA5025,KDCA,
VOI511,,MMTJ
IBRXA,,LIPL
AAL2449,KDFW,
N408LM,,PAMR
SWA1281,,KMDW
CFS7791,,KABQ
CPZ6013,,KLAX
THY6391,LTBA,
CCA4330,ZGSZ,
SKW3958,,KSEA
XBZ,,
JQQ,,YMAY
SWA2625,,KEFD
N702AC,,KMLE
CSN326,YSSY,
JTA45,,
EDV4915,,KATL
GLO2004,,SBBR
ENY3747,KDFW,
XKN,,YPPH
N846UP,,KSDL
EDV5436,,KATL
SKW5325,KDEN,
N907YK,,PAMR
SWA2454,KBWI,
JJA107,RKSS,
CBG8901,,
NKS1946,,KBNA
EDV5227,,KATL
UPS385,,KMIA
FDX137,,
JIA5081,KDFW,
SUB1611,,KBIE
N542SW,,4AZ7
EXI,,YMES
SBI5258,,UNNT
CFS7675,,KPDX
UAL454,KLAX,
CTV988,,
ETH8202,,RPLL
QXE2405,,KPDX
YDD,YLIL,
UPS9744,KDFW,
VOZ9235,,
JIA5597,KDCA,
BTK6371,,
SNJ36,,
JAL500,,RJTT
UEA2715,,
SKW5858,,60CO
NCA627,,VHHH
CGILK,CYVR,
UEA2217,,ZGSZ
CSN8641,ZGSD,
CHH7119,,
RXA9592,YPPH,
DAE1323,,
SBI5243,UNNT,
BCS348,EDDK,
JIA5622,KCLT,
SKW3894,,KATL
HND626,YBCS,
ASQ4037,,KORD
SFJ76,,RJTT
CSN3319,,
RPA3617,KEWR,
LXJ593,,KUGN
SBI5204,,UNNT
AAY554,,KIWA
UPS9793,,
CSC8921,,
APJ523,,RJFF
CSZ9401,ZGSZ,
CDG8429,,
WSN30,KSQL,
CXA8315,,
JIA5533,KCLT,
SKQ53,,KCPK
HDA900,VHHH,
RPA6074,KATL,
TWB704,,RKSS
GIA438,,
JIA5071,,KDCA
JJP581,,RJFF
UAL1509,KSFO,
CQH8611,,
CA811,CYVR,
FYL,,YLIL
IRO7569,,KGRR
UTA363,UUWW,
CJT619,,CYHM
BTQ814,KPHX,
N403MC,,KADS
SFJ43,,RJFF
KAL336,,RKSI
AIJ30,,35AZ
N32RW,KPVU,
QXE2233,,KSEA
CSZ9542,,
SIA637,,WSSS
GIA262,,
GLO2037,SBGR,
JTL827,,KAPA
SIA828,WSSS,
DAL2078,,KSLC
CQN2353,,
KAL1213,RKSS,
CSN3559,ZGSZ,
FDX1667,,KSYR
FDA143,,RJFF
QLK540D,YBBN,
ASA538,,PANC
TBA9908,,
EDV5072,KATL,
PDT4749,KCLT,
N910VM,,KATW
AMF2870,,KPRC
WEN3326,CYVR,
SKW5755,KDEN,
ASH5861,KDFW,
CHH7855,,
EDV4773,KATL,
SWA2512,,KEFD
EJA141,,KVNY
N733FU,,CA16
N174FF,,77CL
IRJAH,,LILB
KAL1102,,RKSS
GIA642,,
LLM419,UUDD,
TAX601,,VTBD
