Callsign, Origin, Destination,Day
TCSCN,LHBP,LDZA,2020-06-01 
LZB437,LBWN,EDDF,2020-06-01 
AFL1370,UUEE,UUOO,2020-06-01 
SBI2007,UUDD,UKFF,2020-06-01 
RA07870,UUMO,EDDH,2020-06-01 
AFR77RR,LFMN,LFPG,2020-06-01 
N54PA,EINN,EPWA,2020-06-01 
SXGAE,LGAV,LGRP,2020-06-01 
RVP035,LPCS,LPPM,2020-06-01 
BHL531,EGSH,EGNJ,2020-06-01 
TTJ815,EDFH,LZIB,2020-06-01 
CNV6218,LPPT,LEPA,2020-06-01 
AFL1439,UWUU,UUEE,2020-06-01 
UTA365,UUWW,UWUU,2020-06-01 
TCATG,EYVI,UUWW,2020-06-01 
JSI9156,BIKF,UUEE,2020-06-01 
SEJSS,EFTU,EFMA,2020-06-01 
BHL61F,ENZV,ENFL,2020-06-01 
GMA578,EGPF,EGPH,2020-06-01 
LOT3932,EPSC,EPWA,2020-06-01 
SBI1213,UUDD,UMKK,2020-06-01 
EFD6S,LIML,EDXW,2020-06-01 
AFL1121,UUDD,UUEE,2020-06-01 
AFL1269,UWKD,UUEE,2020-06-01 
KLM43M,EHAM,EGPD,2020-06-01 
UNC60,EGNJ,EGSH,2020-06-01 
BHL530,EGPD,EGSH,2020-06-01 
SAS54T,ENDU,ENGM,2020-06-01 
UTA397,UUWW,URKA,2020-06-01 
OHWAU,EETN,EFHK,2020-06-01 
AOJ94V,EVRA,UUDD,2020-06-01 
LZB462,EHAM,LBSF,2020-06-01 
DFROH,LSZR,EDSB,2020-06-01 
SAS251,ENGM,ENBR,2020-06-01 
AFL1211,UWWW,UUEE,2020-06-01 
SVR007,UUDD,UKFF,2020-06-01 
NAX6EJ,ENGM,ENEV,2020-06-01 
AFL1159,URRP,UUEE,2020-06-01 
AFR77SU,LFPG,LFMD,2020-06-01 
CKS821,EDDP,EBBR,2020-06-01 
PIP342A,ENNO,ENTO,2020-06-01 
FJK1266,UUWW,EVRA,2020-06-01 
DEDDW,EDQM,EDDN,2020-06-01 
SVR115,UUDD,URKA,2020-06-01 
DLH9HP,LDZA,EDDF,2020-06-01 
BHL538,EGSH,EGHI,2020-06-01 
WZZ5,EDLW,LBSF,2020-06-01 
RVP951,LPCS,LPPM,2020-06-01 
RRR489,EGPD,EGVN,2020-06-01 
FIN533,EFHK,EFRO,2020-06-01 
PBD189,UUWW,URML,2020-06-01 
UTA434,UWKD,UUWW,2020-06-01 
AFL1333,ULMM,UUEE,2020-06-01 
SAS336,ENGM,ENVA,2020-06-01 
BAW346,EGLL,LFMN,2020-06-01 
AFL1285,UWLL,UUEE,2020-06-01 
AFL1351,UUOO,UUEE,2020-06-01 
SAS4106,ENGM,ENBO,2020-06-01 
7TVNM,EBBR,LIRA,2020-06-01 
WZZ1UH,LBSF,EGGW,2020-06-01 
BHL531,EGNJ,EGSH,2020-06-01 
MREEE,LEIB,LSGG,2020-06-01 
CCA935,LIMC,EDDF,2020-06-01 
AFL1221,UWGG,UUEE,2020-06-01 
AFL1321,ULMM,UUEE,2020-06-01 
ELJ702,LKMT,LZIB,2020-06-01 
GMA578,EGPF,EGPH,2020-06-01 
BHL538,EGHI,EGSH,2020-06-01 
AFL1391,UUYY,UUEE,2020-06-01 
DFROH,LSZR,EDSB,2020-06-01 
RVP035,LPPM,LPCS,2020-06-01 
SVR521,UUDD,UKFF,2020-06-01 
NAX744,ENGM,ENVA,2020-06-01 
AZG280,EDFH,LOWW,2020-06-01 
VLJ27AP,LJLJ,LEMD,2020-06-01 
CCA933,EDDF,LFPG,2020-06-01 
OSPREY3,LGKO,LMML,2020-06-01 
AFL1053,URML,UUEE,2020-06-01 
YLPAD,EETU,EVLA,2020-06-01 
AFL1645,UKFF,UUEE,2020-06-01 
DRAG143,LIPK,LIPE,2020-06-01 
SAS008,ESSA,ESPA,2020-06-01 
RVP952,LPPM,LPCS,2020-06-01 
AZA1724,LICC,LIRF,2020-06-01 
FHXHI,LFJR,LFOT,2020-06-01 
LNX07CY,EDDF,LGAV,2020-06-01 
SAS252,ENGM,ENBR,2020-06-01 
N3066K,EDNY,EDDH,2020-06-01 
N562AW,LFBI,LFSG,2020-06-01 
TIS9502,EFHK,UUEE,2020-06-01 
CES709,LKPR,LEMD,2020-06-01 
VLG14AH,LEBL,LEBB,2020-06-01 
SAS1042,ESSA,ESPA,2020-06-01 
ETD9961,EHAM,EGLL,2020-06-01 
SAS4473,ENGM,ESSA,2020-06-01 
5840,ESSB,ESSA,2020-06-01 
BPA8828,LIRF,LIMC,2020-06-01 
SXGAE,LGAV,LGRP,2020-06-01 
SBI2104,URKA,UUDD,2020-06-01 
SVR627,UUDD,UMKK,2020-06-01 
SBI2142,URWA,UUDD,2020-06-01 
AFL1547,URKA,UUEE,2020-06-01 
OAL253,LGMT,LGAV,2020-06-01 
TYA1041,UUDD,URML,2020-06-01 
AFL1648,UUEE,UKFF,2020-06-01 
SBI1135,UUDD,UWUU,2020-06-01 
SEDDY,EDJA,ESSB,2020-06-01 
SWT7272,LMML,EDDK,2020-06-01 
FGPIR,LIMJ,LFMD,2020-06-01 
LXG22V,ESMS,EGHQ,2020-06-01 
CLF260,EGGD,EICK,2020-06-01 
SAT3004,LPPD,LPAZ,2020-06-01 
DFL03,ESNZ,ESGT,2020-06-01 
GZP9635,UUMO,LYBE,2020-06-01 
KLM40Z,EGPD,EHAM,2020-06-01 
PPMJC,LPPT,LPCS,2020-06-01 
ABF1A,EFHK,ENCN,2020-06-01 
N806XA,EGSS,LGAV,2020-06-01 
SAS4082,ENGM,ENEV,2020-06-01 
DMANH,EDNY,LSZR,2020-06-01 
ETD7,LIRF,EDDF,2020-06-01 
BHL60M,EGPD,EGPC,2020-06-01 
CG151,EGPE,EGPC,2020-06-01 
SBI2105,UUDD,URKA,2020-06-01 
AFL1371,UUOB,UUEE,2020-06-01 
AC112,EICM,EIDW,2020-06-01 
BHL61F,ENZV,ENFL,2020-06-01 
SAS6304,ENGM,ENZV,2020-06-01 
IOZZF,LIPR,LIPE,2020-06-01 
N231WG,EDDE,EDXW,2020-06-01 
ETH3606,EBLG,EBBR,2020-06-01 
AFL1003,UMKK,UUEE,2020-06-01 
WZZ2493,LHBP,GCTS,2020-06-01 
AFL1231,UWUU,UUEE,2020-06-01 
IBS3943,GCXO,LEMD,2020-06-01 
YLPAE,EYPA,EVLA,2020-06-01 
5840,ESSA,ESSB,2020-06-01 
BND1,EGPD,EGPN,2020-06-01 
UTA459,UUWW,URKA,2020-06-01 
SBI1214,UMKK,UUDD,2020-06-01 
ID169,LIPO,LIME,2020-06-01 
AFL1156,UUEE,URRP,2020-06-01 
TAY816,EPWA,EBLG,2020-06-01 
SBI2123,UUDD,URRP,2020-06-01 
JDI20B,LIMF,EPWA,2020-06-01 
SHT19M,EGPD,EGLL,2020-06-01 
DMQAX,EDVK,EKEB,2020-06-01 
PBD442,UWKD,UUWW,2020-06-01 
TCATG,EYVI,UUWW,2020-06-01 
PBD263,UUWW,UMKK,2020-06-01 
SBI2006,UKFF,UUDD,2020-06-01 
SAS71A,ENBO,ENGM,2020-06-01 
UTA558,UUDD,UUWW,2020-06-01 
SIA7370,EHAM,LFBO,2020-06-01 
LZB438,EDDF,LBSF,2020-06-01 
SBI2009,UUDD,UKFF,2020-06-01 
SAS69C,ESSA,ENGM,2020-06-01 
AFR77WC,LFPG,LFMD,2020-06-01 
FGLVK,LFPG,LFST,2020-06-01 
SAS4524,ENGM,ENML,2020-06-01 
5840,ESSB,ESSA,2020-06-01 
UTA366,UUDD,UUWW,2020-06-01 
HMF004,ESMK,EKRN,2020-06-01 
ID405,LIMP,LIME,2020-06-01 
WZZ801,EPGD,ESMS,2020-06-01 
SAS1042,ESPA,ESSA,2020-06-01 
FIN5KR,EFRO,EFHK,2020-06-01 
