Callsign, Origin, Destination,Day
BCS4026,EDDP,LOWL,2020-04-01 
ABW325,UUEE,EHAM,2020-04-01 
BCS43C,EDDP,EPKT,2020-04-01 
BCS18D,EDDP,EYVI,2020-04-01 
TAM8070,SBGR,EDDF,2020-04-01 
BCS7078,EDDP,LIRA,2020-04-01 
TVS4157,KORD,BIKF,2020-04-01 
CKS247,EDDP,OBBI,2020-04-01 
AFL033,ULLI,UUEE,2020-04-01 
BCS2213,EGGW,EDDP,2020-04-01 
NPT4679,EBLG,LROP,2020-04-01 
AFL002,UUEE,ULLP,2020-04-01 
WZZ8284,LROP,EKBI,2020-04-01 
ABR1441,EDDK,LIMC,2020-04-01 
KAL9575,VIDP,LOWW,2020-04-01 
KAL9509,RKSI,UUEE,2020-04-01 
BAW192,KDFW,EGLL,2020-04-01 
BCS4214,EDDP,EDDS,2020-04-01 
ICE783,EBLG,BIKF,2020-04-01 
WZZ1260,LROP,EGPH,2020-04-01 
BCS4621,EDDK,EDDS,2020-04-01 
VJT683,UMMS,EDDB,2020-04-01 
AEG403,EKBI,EDSB,2020-04-01 
BCS2130,EGGW,EGNX,2020-04-01 
KAL9905,RKSI,EDDF,2020-04-01 
BCS916,EDDP,UKBB,2020-04-01 
WZZ39,LROP,EGGW,2020-04-01 
LOT8508,KORD,EPWA,2020-04-01 
SRR6978,EGNX,EGAA,2020-04-01 
WGN0188,KDOV,EBLG,2020-04-01 
BCS2882,EGNX,EIDW,2020-04-01 
ADB3303,UAAA,LGAV,2020-04-01 
ICV73L,LIMC,ELLX,2020-04-01 
SRR6382,LFML,LFBD,2020-04-01 
BCS27L,EGNX,EGPH,2020-04-01 
NPT4632,EDDE,EKBI,2020-04-01 
WZZ65,LROP,EHEH,2020-04-01 
BCS95W,EBBR,LFBD,2020-04-01 
NPT4685,EDDV,ENGM,2020-04-01 
THY6391,UKBB,LHBP,2020-04-01 
BOX514,EDDP,OMDB,2020-04-01 
TAY4096,EDDN,LHBP,2020-04-01 
UTA343,UUWW,UWKD,2020-04-01 
NPT023J,EGNX,EGJB,2020-04-01 
ABR1361,EGNX,LEMD,2020-04-01 
BCS3998,EGNX,BIKF,2020-04-01 
SRR6374,LFLL,LFBO,2020-04-01 
SRR6118,EDDM,LGAV,2020-04-01 
PBD204,ULLI,UUWW,2020-04-01 
ABR1471,EGNX,EDDK,2020-04-01 
BCS2215,EGSS,EDDK,2020-04-01 
BCS2406,EGNX,EGAA,2020-04-01 
BAW3460,KSFO,EGLL,2020-04-01 
BCS3848,EKCH,EFHK,2020-04-01 
TAY4274,ESMS,EPGD,2020-04-01 
BCS200P,LFLL,EDDP,2020-04-01 
BCS4852,EDDP,LJLJ,2020-04-01 
TVS432F,ESOW,LKPR,2020-04-01 
ABD392,VHHH,LEBL,2020-04-01 
SAS481,ESSA,ENGM,2020-04-01 
WZZ14,LHBP,EDLW,2020-04-01 
AFL047,ULLI,UUEE,2020-04-01 
WZZ102,LHBP,EGGW,2020-04-01 
BCS37K,EPGD,EETN,2020-04-01 
NOS2,LIMC,EGSS,2020-04-01 
TAY4089,LKPR,LKTB,2020-04-01 
SRR6566,EGNX,EGPH,2020-04-01 
AZA1590,LIEE,LIRF,2020-04-01 
BCS3264,EKCH,ESGG,2020-04-01 
FIN4KV,EFHK,EFOU,2020-04-01 
SAS4556,ENVA,ENBO,2020-04-01 
KAL907,RKSI,EGLL,2020-04-01 
BCS202P,LFML,EDDP,2020-04-01 
SOO098,EDDP,VHHH,2020-04-01 
SAY9785,EDFH,UNNT,2020-04-01 
MPH6912,KMIA,EHAM,2020-04-01 
EWG3XG,EDDL,LEMG,2020-04-01 
SRR6498,LIME,LIPE,2020-04-01 
JON31,ESND,ESSA,2020-04-01 
LSV401,LIRF,LJLJ,2020-04-01 
ICV62N,KLAX,ELLX,2020-04-01 
FIN1NX,EFHK,ESSA,2020-04-01 
TAY4149,LIPZ,LJLJ,2020-04-01 
ABW176,EDDP,UUEE,2020-04-01 
CES219,VHHH,EDDF,2020-04-02 
ABR1538,EGNX,LIMC,2020-04-01 
BOX518,EDDP,OBBI,2020-04-01 
BCS2120,LIMC,EGNX,2020-04-01 
SAS1205,EKCH,EKYT,2020-04-01 
AZA1559,LIEE,LIMC,2020-04-01 
BCS9614,EDDF,LDZA,2020-04-01 
BCS294P,LZIB,EDDP,2020-04-01 
BCS2938,EGNX,EINN,2020-04-01 
TAY4216,LFML,LEVC,2020-04-01 
NAX522,ENGM,ENZV,2020-04-01 
DHK922,EBBR,KMIA,2020-04-01 
OKRLV,LKPR,LKMT,2020-04-01 
SAS308,ENGM,ENHD,2020-04-01 
ETH500,EIDW,KIAD,2020-04-01 
DLH7CH,EDDH,EDDF,2020-04-01 
MPH6122,KMIA,EHAM,2020-04-01 
SWT6LC,LEMD,LEVC,2020-04-01 
FIN3ML,EFHK,EGLL,2020-04-01 
NVD9601,EYVI,EHAM,2020-04-01 
BCS3162,EKCH,ENZV,2020-04-01 
ETH574,EIDW,KORD,2020-04-01 
SAS49E,ENGM,ENZV,2020-04-01 
ABR1255,LFPG,EDDP,2020-04-01 
TAY4572,LIRA,EBLG,2020-04-01 
AEE2BR,LGAV,EBBR,2020-04-01 
EWG65M,EDDS,EDDH,2020-04-01 
DLH9KF,EDDM,EDDF,2020-04-01 
LOT8675,EPWA,ENGM,2020-04-01 
BCS5780,EYVI,EVRA,2020-04-01 
AZA2013,LIMC,LIRF,2020-04-01 
SDM6587,ULLI,UUYY,2020-04-01 
VND3121,LIEE,LIML,2020-04-01 
BOX580,EDDP,RKSI,2020-04-01 
SRN6938,EPWA,UKKK,2020-04-01 
SWT2PM,LEMD,LPPR,2020-04-01 
MOZ331,LOWW,UUEE,2020-04-01 
SAS54C,ESSA,EKCH,2020-04-01 
AMC7612,LMML,LIRF,2020-04-01 
SRR6646,LPPR,LPPT,2020-04-01 
BOX591,VHHH,EDDP,2020-04-01 
BRU865,UMMS,LFPG,2020-04-01 
SDM6233,ULLI,UWWW,2020-04-01 
AFL010,UUEE,ULLP,2020-04-01 
BCS8287,LEMD,EBBR,2020-04-01 
AFL003,ULLI,UUEE,2020-04-01 
VLJ33AD,LSGG,EIDW,2020-04-01 
NPT4769,EFHK,EFTU,2020-04-01 
KLM87Q,EHAM,LPPT,2020-04-01 
ABR1442,LIMC,EDDK,2020-04-01 
NAX4RZ,ENGM,ENBO,2020-04-01 
AFR6001,LFML,LFPG,2020-04-01 
RYR2QC,EIDW,LPPT,2020-04-01 
BCS6823,LEMD,EDDP,2020-04-01 
BAW428,EGLL,EHAM,2020-04-01 
BCS541,EDDP,OBBI,2020-04-01 
BOX517,VHHH,EDDP,2020-04-01 
DFCOC,EDDS,EDVE,2020-04-01 
BRU9101,UMMS,LOWW,2020-04-01 
AFR134J,LFPG,EHAM,2020-04-01 
CTN5NL,LDZA,EHAM,2020-04-01 
SAS56T,ENGM,EKCH,2020-04-01 
DIBET,EDDB,LEVC,2020-04-01 
SEH211,LGIR,LGAV,2020-04-01 
BRX23Z,ESMS,ESSB,2020-04-01 
EVA067,VTBS,EGLL,2020-04-01 
DLH5AF,EDDF,EGLL,2020-04-01 
TAY4958,LPPR,LPPT,2020-04-01 
PHKIO,EHGG,EHRD,2020-04-01 
AFL1603,UWWW,UUEE,2020-04-01 
SXN51D,EGSH,EDVK,2020-04-01 
SAS1206,EKYT,EKCH,2020-04-01 
BRX307Y,ESTA,ESSB,2020-04-01 
CGF3318,EDDP,ENGM,2020-04-01 
BCS7079,LIRA,EDDP,2020-04-01 
SAS44K,ESSA,EFHK,2020-04-01 
BOX530,EDDP,WSSS,2020-04-01 
SAS4010,ENZV,ENGM,2020-04-01 
SAS73L,ENHD,ENGM,2020-04-01 
LOT8603,EPWA,EGLL,2020-04-01 
SHT86L,EGLL,EGAC,2020-04-01 
DLH2EP,EDDF,EKCH,2020-04-01 
OOHEY,EBAW,EBOS,2020-04-01 
OKRLV,LKMT,LKTB,2020-04-01 
SAS71L,ESSA,ESGG,2020-04-01 
BAW812,EGLL,EKCH,2020-04-01 
KAL541,LOWW,ENGM,2020-04-01 
DEUCK,EDDN,EDDW,2020-04-01 
BCS13G,EDDF,EGLL,2020-04-01 
FIN5U,EFOU,EFHK,2020-04-01 
FIN7KF,ESSA,EFHK,2020-04-01 
WZZ4BR,EKBI,LROP,2020-04-01 
DLH54M,EDDF,LOWW,2020-04-01 
DLH3MM,EDDF,EHAM,2020-04-01 
AFL1460,UUEE,UNNT,2020-04-01 
DLH56V,EDDF,LFPG,2020-04-01 
SAS347,ENVA,ENGM,2020-04-01 
BCS6891,EGNX,EDDP,2020-04-01 
AFL012,UUEE,ULLP,2020-04-01 
AHO217Z,EVRA,UMMS,2020-04-01 
AZA572,LIRF,LSZH,2020-04-01 
WZZ6917,EDLW,LHBP,2020-04-01 
CTN416,LDZA,EDDF,2020-04-01 
VLJ09AB,HKMO,LIMC,2020-04-01 
RYR50,LMML,LIME,2020-04-01 
OAL3IR,LGIR,LGAV,2020-04-01 
ATL4U,LGAV,LEPA,2020-04-01 
ABR1470,EDDK,EGNX,2020-04-01 
RYR9EH,EGSS,EDDB,2020-04-01 
AFR16WB,LFPG,EDDM,2020-04-01 
REV919P,EGNX,EGHH,2020-04-01 
DLH2VC,EDDF,EDDH,2020-04-01 
KLM65H,EHAM,LEBL,2020-04-01 
AYY151,EGBB,EDDK,2020-04-01 
DLH8UX,EDDF,EDDM,2020-04-01 
ABR1739,EGMC,LEMD,2020-04-01 
ABD4411,KJFK,EBLG,2020-04-01 
DICSH,EDDH,EDDP,2020-04-01 
KLM17M,EHAM,LEMD,2020-04-01 
EWG4YG,EDDH,EDDS,2020-04-01 
SAS58E,EKCH,ESSA,2020-04-01 
LNKGW,ENVA,ENGM,2020-04-01 
FCK311,LOWK,LOWW,2020-04-01 
