Callsign, Origin, Destination,Day
AIC1923,VIDP,UUDD,2020-07-01 
KLM701,EHAM,SAEZ,2020-07-01 
FPO951F,LFPG,DAAG,2020-07-01 
AMC7816,LMML,OMDB,2020-07-01 
BOX593,VIDP,EDDP,2020-07-01 
BOX531,VOBL,EDDP,2020-07-01 
SBI1009,UUDD,ULLP,2020-07-01 
CNV6630,LICC,UGSB,2020-07-01 
AFR990,LFPG,FATA,2020-07-01 
KLM743,EHAM,SPJC,2020-07-01 
MMAVP,UUWW,ULLP,2020-07-01 
DAH1206,DAAG,LFPG,2020-07-01 
AUL503,ULLI,UUYY,2020-07-01 
SUM9603,UUWW,UWWE,2020-07-01 
SBI1007,UUDD,ULLP,2020-07-01 
SVR079,UUDD,ULLP,2020-07-01 
BOX513,OMDB,EDDP,2020-07-01 
AAR587,KJFK,EBBR,2020-07-01 
SIA7362,OMSJ,EHAM,2020-07-01 
EDW2094,LSZH,SPJC,2020-07-01 
BOX486,EDDF,KSEA,2020-07-01 
OKAOA,ULLI,LGIR,2020-07-01 
AFL014,UUEE,ULLP,2020-07-01 
AFL011,ULLI,UUEE,2020-07-01 
PBD209,UUWW,ULLP,2020-07-01 
MSR799,HECA,LFPG,2020-07-01 
JEI232,VIDP,EDDM,2020-07-01 
CCA849,WSSS,EGLL,2020-07-02 
ACA875,EDDF,CYUL,2020-07-01 
ACA873,EDDF,CYYZ,2020-07-01 
ALK1505,WSSS,EDDF,2020-07-02 
AFR456,LFPG,SBGR,2020-07-01 
QQE729,OTBD,EGGW,2020-07-01 
BAW56,FAOR,EGLL,2020-07-01 
AFR066,LFPG,KLAX,2020-07-01 
CKS396,EDDP,KCVG,2020-07-01 
SAS943,EKCH,KORD,2020-07-01 
NWS178,ULLI,UUEE,2020-07-01 
DAL83,LFPG,KATL,2020-07-01 
NWS306,UNNT,UUEE,2020-07-01 
AFR366V,LFPG,DAAG,2020-07-01 
DAL3341,EDDF,KORD,2020-07-01 
AUI3545,UKBB,DAAG,2020-07-01 
SDM6028,UUWW,ULLP,2020-07-01 
SUS9135,OMDB,LGIR,2020-07-01 
AFR226,LFPG,VIDP,2020-07-01 
OES101B,UUWW,ULLP,2020-07-01 
N885AR,LDZA,KISP,2020-07-01 
SIA323,EHAM,WSSS,2020-07-01 
LN173PA,DAAG,EGSS,2020-07-01 
CIG1671,UUWW,OMDW,2020-07-01 
DLH430,EDDF,KORD,2020-07-01 
CKS977,KCVG,EBBR,2020-07-01 
PCH18,BIRK,KORD,2020-07-02 
CMB162,KDOV,EBOS,2020-07-01 
SBI1010,ULLI,UUDD,2020-07-01 
SVR059,UUDD,ULLP,2020-07-01 
RSD003,ULLI,UUWW,2020-07-01 
BAW139,EGLL,VABB,2020-07-01 
SBI1008,ULLI,UUDD,2020-07-01 
BOX519,VHHH,EDDP,2020-07-01 
WZZ2357,LHBP,OMAA,2020-07-01 
PBD205,UUWW,ULLP,2020-07-01 
DAL15,EDDF,KATL,2020-07-01 
AFR253,VTBS,LFPG,2020-07-01 
GAJ678,KSTL,LEMD,2020-07-01 
AFL015,ULLI,UUEE,2020-07-01 
UTA370,ULLI,UUWW,2020-07-01 
ACA7231,LEMD,CYYZ,2020-07-01 
SZN4015,GOBD,LIRF,2020-07-01 
ABD393P,EBOS,VHHH,2020-07-01 
SBI1073,UUDD,UWWE,2020-07-01 
LXJ93,LEBL,KSFO,2020-07-01 
DAL8824,EDDF,KATL,2020-07-01 
TAP9560,SBGR,LPPT,2020-07-01 
CSN463,KLAX,EDDF,2020-07-02 
SIA25,EDDF,WSSS,2020-07-01 
PBD208,ULLI,UUWW,2020-07-01 
BAW143,EGLL,VIDP,2020-07-01 
TAP9561,LPPT,SBGR,2020-07-01 
AJT979,KCVG,EGNX,2020-07-01 
SIA351,EKCH,WSSS,2020-07-01 
DLH452,EDDM,KLAX,2020-07-01 
SIA317,EGLL,WSSS,2020-07-01 
CPA270,EHAM,VHHH,2020-07-01 
KAL542,ENGM,RKSI,2020-07-01 
ABW9496,EDDP,OMDB,2020-07-01 
SWT8735,GMMN,LEMD,2020-07-01 
SZN4004,LFPG,GOBD,2020-07-01 
ACA847,EDDM,CYYZ,2020-07-01 
AFL1212,UUEE,UWWE,2020-07-01 
SNM573,DAAG,LIRA,2020-07-01 
FPO926,DAAG,LFLL,2020-07-01 
SOO097,KLAX,EDDP,2020-07-01 
BAW281,EGLL,KLAX,2020-07-01 
BAW173,EGLL,KJFK,2020-07-01 
SON001,EGSS,OMDW,2020-07-01 
ACA857,EGLL,CYYZ,2020-07-01 
BOX393,KCVG,EDDP,2020-07-01 
SBI1028,ULLI,UUDD,2020-07-01 
BAW295,EGLL,KORD,2020-07-01 
VJT993,LMML,OMDW,2020-07-01 
WZZ3265,LROP,OMAA,2020-07-01 
BARTK55,EHEH,OMDM,2020-07-01 
AFR662,LFPG,OMDB,2020-07-01 
VJT449,LGAV,OMDW,2020-07-01 
MEA212,LFPG,OLBA,2020-07-01 
OAE601,LRBS,KIAD,2020-07-01 
T7FGL,UKBB,OLBA,2020-07-01 
SVR060,ULLI,UUDD,2020-07-01 
AFR6732,LFPG,KORD,2020-07-01 
KLM876,RPLL,EHAM,2020-07-02 
RAM3822,GMMN,LFPG,2020-07-01 
SBI1013,UUDD,ULLP,2020-07-01 
CPA252,EGLL,VHHH,2020-07-01 
SAZ71,LSZH,UAAA,2020-07-01 
TAR717,LFPO,DTTA,2020-07-01 
N551TG,KFRG,LKTB,2020-07-01 
RZO333,LPPT,CYYZ,2020-07-01 
TAR757,LIMC,DTTA,2020-07-01 
AFR4148,DAAG,LFPG,2020-07-01 
KLM611,EHAM,KORD,2020-07-01 
AFR688,LFPG,KATL,2020-07-01 
ETH3713,EBBR,OMDW,2020-07-01 
DAL17,EGLL,KDTW,2020-07-01 
SBI1012,ULLI,UUDD,2020-07-01 
BRU892,EDDB,UMLI,2020-07-01 
AFL022,UUEE,ULLP,2020-07-01 
NAF11,OLBA,EHEH,2020-07-01 
AFR719,GOBD,LFPG,2020-07-01 
ETD44X,EDDF,OMAA,2020-07-01 
ETD36V,LIMC,OMAA,2020-07-01 
SAZ61,LSZH,OMRK,2020-07-01 
MEA202,EGLL,OLBA,2020-07-01 
DAL47,EHAM,KJFK,2020-07-01 
ETD15R,EGLL,OMAA,2020-07-01 
AFR006,LFPG,KJFK,2020-07-01 
ACA855,EGLL,CYVR,2020-07-01 
BCS971,KJFK,EGNX,2020-07-01 
ETD23N,EIDW,OMAA,2020-07-01 
SDM6011,ULLI,UUWW,2020-07-01 
MEDVC4A,EDDF,OERY,2020-07-01 
BCS938,LFPG,GMMN,2020-07-01 
ETD44T,LSZH,OMAM,2020-07-01 
ETD26W,LEMD,OMAA,2020-07-01 
DAL73,EHAM,KATL,2020-07-01 
ETD39X,LSGG,OMAA,2020-07-01 
BAW209,EGLL,KMIA,2020-07-01 
ETD35Q,LEBL,OMAA,2020-07-01 
ETD57C,LFPG,OMAA,2020-07-01 
AFL021,ULLI,UUEE,2020-07-01 
DHK542,OBBI,EDDP,2020-07-01 
VJT516,EGGW,OLBA,2020-07-01 
ETH8407,OLBA,LOWW,2020-07-01 
ABW240,VHHH,UUEE,2020-07-01 
AXY2202,EPKT,KORD,2020-07-01 
KLM95R,EHAM,KJFK,2020-07-01 
DLH718,EDDM,RKSI,2020-07-01 
BAW287,EGLL,KSFO,2020-07-01 
ETD53S,EHAM,OMAA,2020-07-01 
SBI1015,UUDD,ULLP,2020-07-01 
DAL135,EHAM,KDTW,2020-07-01 
DAL75,EHAM,KATL,2020-07-01 
KLM601,EHAM,KLAX,2020-07-02 
TVS4340,ENBR,VECC,2020-07-02 
BAW193,EGLL,KDFW,2020-07-01 
SBI1075,UUDD,UWWE,2020-07-01 
RFF7621,UUMU,LOWW,2020-07-01 
KLM31,EHAM,CYYZ,2020-07-01 
KLM739,EHAM,SKBO,2020-07-02 
BAW49,EGLL,KSEA,2020-07-01 
ACA871,LFPG,CYUL,2020-07-01 
BAW227,EGLL,KATL,2020-07-01 
AFR342,LFPG,CYUL,2020-07-01 
KLM807,EHAM,RCTP,2020-07-02 
SBI1014,ULLI,UUDD,2020-07-01 
AFL1214,UUEE,UWWE,2020-07-01 
AFL024,UUEE,ULLP,2020-07-01 
OES102B,ULLI,UUWW,2020-07-01 
PBD212,ULLI,UUWW,2020-07-01 
ICE760,KBOS,BIKF,2020-07-01 
AIC1924,UUDD,VIDP,2020-07-01 
AFL023,ULLI,UUEE,2020-07-01 
JAL48,EFHK,RJTL,2020-07-01 
SBI1017,UUDD,ULLP,2020-07-01 
FPO925F,LFLL,DAAG,2020-07-01 
SVR080,ULLI,UUDD,2020-07-01 
BCS932,LEZL,GMTT,2020-07-01 
AFR257,WSSS,LFPG,2020-07-02 
JDI20B,ULLI,EPWA,2020-07-01 
BAW33K,EGLL,KJFK,2020-07-01 
GZP9650,ULLI,UUWW,2020-07-01 
BAW5,EGLL,RJTK,2020-07-02 
LOT26,EPWA,KJFK,2020-07-01 
SVR299,UUDD,UHBB,2020-07-02 
KLM617,EHAM,KBOS,2020-07-01 
IBE6117,LEMD,KMIA,2020-07-02 
KLM166,EHAM,KATL,2020-07-01 
SDM6012,UUWW,ULLP,2020-07-01 
AFR185,VHHH,LFPG,2020-07-02 
BAW297,EGLL,KORD,2020-07-01 
CIG1672,OMDW,UUWW,2020-07-01 
KLM868,RJBB,EHAM,2020-07-02 
SDM4103,ULLI,UWGG,2020-07-01 
BAW32,VHHH,EGLL,2020-07-02 
ABX973,KCVG,EGNX,2020-07-01 
KSM9611,UUWW,UHBB,2020-07-01 
LOT45,EPWA,CYYZ,2020-07-01 
CAL061,RCTP,EDDF,2020-07-02 
SIA322,WSSS,EGLL,2020-07-02 
SVR349,UUDD,UHBB,2020-07-01 
ART8326,DAAG,EDDL,2020-07-01 
SIA324,WSSS,EHAM,2020-07-02 
CMB0188,EBLG,OTBH,2020-07-01 
RAM3023,LFPG,GMMX,2020-07-01 
KAL924,UUEE,RKSI,2020-07-02 
KLM643,EHAM,KJFK,2020-07-01 
SBI1016,ULLI,UUDD,2020-07-01 
EVA087,RCTP,LFPG,2020-07-02 
EVA065,RCTP,LOWW,2020-07-02 
SDM6035,ULLI,UUWW,2020-07-01 
SIA26,WSSS,EDDF,2020-07-02 
KLM591,EHAM,FABA,2020-07-02 
KLM836,WSSS,EHAM,2020-07-02 
CAL073,RCTP,EHAM,2020-07-02 
KLM887,EHAM,VHHH,2020-07-02 
AAR542,EDDF,RKSI,2020-07-02 
JAF709F,EHAM,GMMN,2020-07-01 
SBI1077,UUDD,UWWE,2020-07-01 
FRH531,EBLG,KJFK,2020-07-01 
BAW117,EGLL,KJFK,2020-07-01 
AFL025,ULLI,UUEE,2020-07-01 
BCS933,GMTT,LEZL,2020-07-01 
OAW9409,SBSJ,LSZH,2020-07-02 
KLM427,EHAM,OMDB,2020-07-01 
AFR428,LFPG,SKBO,2020-07-02 
UTA357,UUWW,UWWE,2020-07-01 
BAW50G,EGLL,KBOS,2020-07-01 
KAL9576,LIMC,RKSI,2020-07-02 
TAM9552,SBGR,EHAM,2020-07-02 
BAW293,EGLL,KIAD,2020-07-01 
ABW107,EHAM,KORD,2020-07-02 
GZP9629,UUMO,ULLP,2020-07-01 
PBD210,ULLI,UUWW,2020-07-01 
BCS939,GMMN,LFPG,2020-07-01 
BAW99,EGLL,CYYZ,2020-07-01 
AAR588,EBBR,RKSI,2020-07-02 
SBI1019,UUDD,ULLP,2020-07-01 
RZO3225,LPPD,KBOS,2020-07-01 
CPA251,VHHH,EGLL,2020-07-02 
SBI1018,ULLI,UUDD,2020-07-01 
IBE3328,LEMD,GOBD,2020-07-01 
GCK40,LOWW,OMDW,2020-07-01 
CAO1033,RJBB,EHAM,2020-07-02 
ETH700,FABA,EGLL,2020-07-02 
AFR5396,LFPG,KORD,2020-07-02 
FPO952,DAAG,LFPG,2020-07-01 
IAM1423,LIPX,OMDW,2020-07-02 
SBI3061,UUDD,UHBB,2020-07-02 
JAL46,LFPG,RJTL,2020-07-02 
ICE631,BIKF,KBOS,2020-07-01 
ARG1133,LEMD,SAEZ,2020-07-02 
AFL030,UUEE,ULLP,2020-07-01 
SBI1021,UUDD,ULLP,2020-07-01 
CAL062,EDDF,RCTP,2020-07-02 
BOX392,EDDP,KCVG,2020-07-02 
DHK833,KMIA,EBBR,2020-07-02 
IJM339,LSZB,ULLP,2020-07-01 
BAW31,EGLL,VHHH,2020-07-02 
CKS395,KCVG,EDDP,2020-07-02 
NWS148,ULLI,UUEE,2020-07-01 
ANA212,EGLL,RJTT,2020-07-02 
AAR796,EDDF,RKSI,2020-07-02 
SDM6036,UUWW,ULLP,2020-07-01 
AFL032,UUEE,ULLP,2020-07-01 
ABW341,EBLG,KATL,2020-07-02 
ANA216,LFPG,RJTK,2020-07-02 
CKS244,KCVG,EDDP,2020-07-02 
JAL44,EGLL,RJTK,2020-07-02 
SDM4102,UWGG,ULLP,2020-07-01 
LBT543,LFML,DTTA,2020-07-01 
BAW246,SBGR,EGLL,2020-07-02 
KLM592,FAOR,EHAM,2020-07-02 
KAL908,EGLL,RKSI,2020-07-02 
SBI1020,ULLI,UUDD,2020-07-01 
CAL074,EHAM,RCSS,2020-07-02 
BAW11,EGLL,WSSS,2020-07-02 
KAL902,LFPG,RKSI,2020-07-02 
ABG9954,VHHH,UUWW,2020-07-02 
NOS321,HKMO,LIRF,2020-07-02 
PEG19,KGRB,LEMG,2020-07-02 
SBI2605,UUDD,UNEE,2020-07-01 
PBD548,UWKD,ULLP,2020-07-01 
ETH3614,EBBR,VHHH,2020-07-02 
ETD920,LFPG,OMAD,2020-07-02 
DLH763,VIDP,EDDM,2020-07-02 
KLM855,EHAM,RKSI,2020-07-02 
PBD206,ULLI,UUWW,2020-07-01 
AFL1458,UUEE,UNWW,2020-07-01 
KLM602,KLAX,EHAM,2020-07-02 
PBD1419,UUWW,UNCC,2020-07-01 
EAV32D,UUWW,ULLP,2020-07-01 
BAW55,EGLL,FABA,2020-07-02 
AFL1450,UUEE,UNEE,2020-07-01 
SBI1022,ULLI,UUDD,2020-07-01 
ETH3714,OMDW,EBBR,2020-07-02 
KAL540,EGLL,RKSI,2020-07-02 
KLM835,EHAM,WSSS,2020-07-02 
SIA7361,EHAM,OMSJ,2020-07-02 
KLM791,EHAM,SBGR,2020-07-02 
AFL031,ULLI,UUEE,2020-07-01 
DLH772,EDDF,VTBD,2020-07-02 
SAZ72,UAAA,LSGG,2020-07-02 
DLH796,EDDF,VHHH,2020-07-02 
WZZ6108,EDDV,UKKT,2020-07-01 
SVR100,UUDD,UNCC,2020-07-01 
AFR321,KBOS,LFPG,2020-07-02 
AJT8321,KMIA,EBBR,2020-07-02 
CAL082,EGLL,RCTP,2020-07-02 
BAW138,VABB,EGLL,2020-07-02 
BAW109,EGLL,OMDB,2020-07-02 
PBD445,UUWW,UNEE,2020-07-02 
EVA070,EGLL,RCTP,2020-07-02 
WGN0923,KMIA,EBBR,2020-07-02 
BAW142,VIDP,EGLL,2020-07-02 
KLM878,VABB,EHAM,2020-07-02 
AFR655,OMDB,LFPG,2020-07-02 
MPH8321,EHAM,FAOR,2020-07-02 
AJT972,EGNX,KCVG,2020-07-02 
PLM499P,RPLC,LEMD,2020-07-02 
KLM168,KATL,EHAM,2020-07-02 
KLM875,EHAM,VTBD,2020-07-02 
SAS944,KORD,EKCH,2020-07-02 
SDM6587,ULLI,UUYY,2020-07-01 
FIN131,EFHK,WSSS,2020-07-02 
ACA878,CYYZ,LSZH,2020-07-02 
