Callsign, Origin, Destination,Day
ABR1538,EGNX,LFPG,2020-12-01 
TAY4868,EBLG,LOWW,2020-12-01 
GCL2880,EDDP,EIDW,2020-12-01 
BCS5336,EDDP,LZIB,2020-12-01 
BCS29Q,EDDP,EDDF,2020-12-01 
LAV958P,LIMF,LIML,2020-12-01 
PBD204,ULLI,UUWW,2020-12-01 
BCS53A,EDDP,LSGG,2020-12-01 
GCL1915,LFML,EDDK,2020-12-01 
TAY4096,EBLG,EDDN,2020-12-01 
BCS3612,EDDP,EFHK,2020-12-01 
ABR1441,EDDK,LIMC,2020-12-01 
TAY4365,EBLG,LGAV,2020-12-01 
BCS7508,EDDP,LIPO,2020-12-01 
LOT774,EYVI,EPWA,2020-12-01 
BCS4026,EDDP,LOWL,2020-12-01 
BCS91K,EDDP,EDDF,2020-12-01 
YUBTB,LYBE,UUWW,2020-12-01 
TAY4857,EBLG,LFML,2020-12-01 
BCS11K,EDDP,ESSA,2020-12-01 
ABR1471,LFPG,EGNX,2020-12-01 
ABR1624,LIRF,EGMC,2020-12-01 
BCS5706,EDDP,LROP,2020-12-01 
TAY4609,LFPG,LFBO,2020-12-01 
BCS82E,EDDP,LIPZ,2020-12-01 
TAY4089,EBLG,LKPR,2020-12-01 
AFL033,ULLI,UUEE,2020-12-01 
TAY4149,EBLG,LIPZ,2020-12-01 
BCS68J,EDDP,LIPE,2020-12-01 
TAY4946,EBLG,LFBO,2020-12-01 
BCS3844,EDDP,EKBI,2020-12-01 
SVR525,UUDD,UKFF,2020-12-01 
AFL006,UUEE,ULLI,2020-12-01 
TAY4125,EBLG,EGPH,2020-12-01 
NJE443A,EPGD,LSZH,2020-12-01 
ABR1920,EDDK,LFRN,2020-12-01 
LOT85A,EPWR,EPWA,2020-12-01 
BCS26N,EDDP,EDDM,2020-12-01 
RSY7632,UUWW,EBLG,2020-12-01 
T41,EFJY,EFHK,2020-12-01 
RSY9808,EBLG,UUWW,2020-12-01 
KLM1382,UKBB,EHAM,2020-12-01 
AUL519,ULMM,ULLI,2020-12-01 
TUP952,EDDP,UUEE,2020-12-01 
SWN4681,EBLG,LROP,2020-12-01 
LOT3828,EPGD,EPWA,2020-12-01 
BCS18D,EDDP,EYVI,2020-12-01 
TAY4067,EBLG,EDDB,2020-12-01 
