Callsign, Origin, Destination
DLH7CH,EDDH,EDDF
VJT547,LMML,OMDW
BPA8828,LIMC,LIRF
BCS702P,LFRS,EDDP
AFR75WZ,LFBO,LFPG
HBVER,LSZR,LJLJ
JCL5,EGSS,EDDK
SRN6938,EPWA,UKKK
DLH9KF,EDDM,EDDF
AHO615Q,EDDH,ENTO
DLH866,EDDF,ENGM
SAS308,ENGM,ENHD
SPMXI,EPWR,EPWA
SAS49E,ENGM,ENZV
ABD341P,EDDF,EBLG
SRR6646,LPPR,LPPT
AZA1TX,LIMC,LIRF
AFR76PA,LFML,LFPG
SWT112,LEPA,LEIB
AFR771R,LFMN,LFPG
LGL9561,EDDR,EDDH
SAS54C,ESSA,EKCH
CSA4E,LKPR,EDDF
EWG65M,EDDS,EDDH
ANE8481,LEMH,LEPA
LWG1072,LFBI,LEAL
GZP9621,UUMO,ULLI
AFR75DT,LFPG,LFBO
AZA74Q,LIEE,LIMC
RYR7DY,EGSS,EHEH
LOT1,EPWA,EPSC
NOS913,LIMC,ZGSZ
DLH02X,EDDF,LEBL
RA02793,UUWW,ULLI
LOT3851,EPWA,EPWR
AFL1210,UUEE,UWWW
LOT3981,EPWA,EPZG
LOT3957,EPWA,EPPO
LOT3903,EPWA,EPKK
RYR5KR,EIDW,EGSS
CCA569,ZUCK,EDDF
AFR12VA,LFPG,LIRF
YRTRK,LRBS,LKPR
OKPVG,EBBR,LKMT
COW01,ENGM,EKBI
AFL031,ULLI,UUEE
WZZ805,EPGD,EHEH
RYR8CA,EIDW,EGCC
LED7,EFTP,EFOU
DLH8YJ,EDDM,EDDH
EFD6S,EDDS,LIML
AFL010,UUEE,ULLI
NCA049,EHAM,LIMC
FXT201,ESMS,ESSP
BRU809,UMMS,LYBE
AFL1268,UUEE,UWKD
LOT3831,EPWA,EPGD
BRU865,UMMS,LFPG
AFL1521,UNNT,UUEE
DLH54M,EDDF,LOWW
W11,EFKU,EFTP
RYR2QC,EIDW,LPPT
LOT3502,EPKK,EPGD
DLH1HR,EDDF,ESGG
GAC396U,LOWL,LOWS
CMB162,KDOV,EBOS
AFL1307,UNNT,UUEE
DLH2MM,EDDF,LHBP
SPWBW,EPWA,EFHK
EMM009,EDDV,EDSB
NAX740,ENGM,ENVA
AHO426N,LPFR,LEBL
