Callsign, Origin, Destination
CMB162,EBOS,OTBH
BAW33K,EGLL,KJFK
CSN331,ZGGG,EDDF
BAW28,VHHH,EGLL
CAL073,RCTP,EHAM
SVR624,ULLI,USSS
BAW139,EGLL,VABB
SIA324,WSSS,EHAM
BAW293,EGLL,KIAD
AFL212,UUEE,VHHH
AAR542,EDDF,RKSI
BCS933,GMTT,LEZL
BAW50G,EGLL,KBOS
AFR4147,SAEZ,LFPG
BAW99,EGLL,CYYZ
SVR349,UUDD,UHBB
BAW244,SAEZ,EGLL
CMB503,OTBH,EDFH
BCS939,GMMN,EDDP
GTI8502,KDOV,EDFH
SBI3061,UUDD,UHBB
AFR5394,LFPG,KORD
RWZ4335,UUDD,UDYZ
BOX392,EDDP,KCVG
KAL541,RKSI,LOWW
CSN5237,ZGGG,EHAM
SIA306,WSAC,EGLL
ABW103,EHAM,KORD
KAL906,EDDF,RKSI
FPO952,DAAG,LFPG
KAL8536,EDDF,RKSI
CCA570,EDDF,ZUCK
BAW31,EGLL,VHHH
BCS398,EGNX,KCVG
SIA325,EDDF,WSSS
BOX491,KDFW,EDDF
IFA150,GOBD,LEMG
BAW55,EGLL,FATA
DAL8956,EHAM,KATL
JAL44,EGLL,RJTL
ABD397,OMDW,EDFH
AFR6740,LFPG,KORD
ABW138,VHHH,UUDD
KAL908,EGLL,RKSI
BAW246,SBGR,EGLL
BOX690,EDDF,VOMM
BCS978,EBBR,KCVG
KAL902,LFPG,RKSI
SBI2605,UUDD,UNEE
TAM9521,EHAM,SBGR
DLH506,EDDF,SBGR
SIA352,WSSS,EKCH
AFL1450,UUEE,UNEE
AEA825,LEMD,KOPF
GTI8074,KDOV,EDFH
MPH6911,EHAM,SBKP
BAW59,EGLL,FACT
NWS9065,ZGGG,UUEE
GFA016,EDDF,OBBI
BAW15,EGLL,WSSS
ICV6731,LIMC,OMDW
PLM482,LEMD,SLCY
BAW3582,EGLL,SBGR
SQP3818,UAAA,UKBB
AAR588,EBBR,RKSI
ACA872,CYYZ,EDDF
EJM91,KTEB,EGSS
QQE530,KLAX,EGSS
AJT972,EGNX,KCVG
DLH431,KORD,EDDF
DLH507,SBGR,EDDF
ABW215,ZGSZ,LFPG
BAW247,EGLL,SBGR
BAW245,EGLL,SAEZ
LXJ91,KOPF,EDLP
AFR188,LFPG,VHHH
MGSIR,KILG,LIML
NOS914,ZGSZ,LIMC
DAL72,KATL,EHAM
N963U,KMSP,EGAA
TAP9502,KORD,LPPT
DAL134,KDTW,EHAM
ACA874,CYUL,EDDF
AFR454,LFPG,SBGR
DAL3340,KORD,EDDF
BAW112,KJFK,EGLL
AFR291,RJBB,LFPG
AFR065,KLAX,LFPG
BAW66,KPHL,EGLL
N550JU,SBGR,EGGW
BAW106,OMDB,EGLL
N128JL,KTEB,LFTH
BOX581,VHHH,EDDK
SIA7374,OMSJ,EHAM
BAW280,KLAX,EGLL
AFR007,KJFK,LFPG
NJE580R,KTEB,EDDF
ABW993,ZGSZ,EDDP
SIA7977,KLAX,EBBR
ABW140,VHHH,UUDD
RWZ4336,UDYZ,UUDD
AFR689,KATL,LFPG
ACA848,CYYZ,EGLL
CSN8191,ZUCK,EHAM
SBI2606,UNEE,UUDD
JME220E,KEWR,LPCS
BAW208,KMIA,EGLL
AFL1451,UNEE,UUEE
UPC8505,UAAA,UUWW
SVR350,UHBB,UUDD
CCA931,ZGSZ,EDDF
ABX964,EGNX,KJFK
ACA870,CYUL,LFPG
BAW51B,KBOS,EGLL
DHK966,EDDP,KJFK
AIC1977,VIDP,UUDD
MAS6127,EHAM,OMDW
SBI3062,UHBB,UUDD
BAW14K,KJFK,EGLL
TUP6236,UNNT,UUWW
BAW226,KATL,EGLL
BAW98,CYYZ,EGLL
BAW24R,KORD,EGLL
AZG788,EDFH,KORD
TUP6586,UNNT,UUWW
BAW192,KDFW,EGLL
BAW3C,KIAD,EGLL
BAW286,KSFO,EGLL
ABW102,KORD,EDDF
BAW138,VABB,EGLL
EVA077,RCTP,EHAM
AUI2809,UKBB,UAAA
BAW172,KJFK,EGLL
AFR5395,KORD,LFPG
CSN451,ZUCK,EHAM
AZG783,ELLX,KORD
SIA326,WSSS,EDDF
BOX514,EDDP,VHHH
GTI8043,EDFH,KNGU
BOX592,EDDP,VIDP
SOO098,EDDP,VHHH
SMF321,UAAA,LIPE
SVR272,USSK,UUDD
SBI5003,UNNT,ULLI
ABW9194,EDDP,ZGSZ
BCS397,KCVG,EDDP
SBI2508,UNNT,UUDD
DHK922,EBBR,KMIA
ATG2251,VHHH,EDDF
ETH500,SBGR,EIDW
FRH521,EBLG,KJFK
ETH500,EIDW,KIAD
DLH717,RJTK,EDDF
BOX580,EDDP,RKSI
BOX530,EDDP,WSSS
CSC8225,USSK,EBBR
BCS541,LZIB,OBBI
ICV6012,LIMC,UNNT
CSN8196,EDDF,ZUCK
HI1055,LSGG,KBOS
AFR366V,LFPG,DAAG
PEG42,EGGW,KTEB
FPO951F,LFPG,DAAG
SBI5031,UNNT,UWWW
BOX531,VOBL,EDDP
ETH552,EIDW,CYYZ
BOX593,VIDP,EDDP
BAW56,FAGM,EGLL
BOX480,EDDF,CYYZ
ABW204,KORD,UUEE
MPH6121,EHAM,KMIA
UTA9040,UUWW,UDYZ
QQE530,EGSS,VIDP
CIG1602,OMDW,UUWW
BOX513,OMDB,EDDP
AFR365V,LFPG,DAAG
RRR4002,EGVN,GVAC
SBI2505,UUDD,UNCC
N977SA,EGGW,UAAA
ABW207,EBLG,KORD
CAL074,EHAM,RCTP
SBI2510,UNNT,UUDD
AZA60U,LIRF,KJFK
HHN169,BIRK,KDTW
BAW58L,FACT,EGLL
DAL3341,EDDF,KORD
CAL062,EDDF,RCTP
BCS975,KCVG,EBBR
ACA2349,EINN,CYYZ
SIA323,EHAM,WSSS
SIA345,LSZH,WSSS
FPO926,DAAG,LFLL
BAW139,EGLL,VABB
BOX519,VHHH,EDDP
IFA1219,EGSS,RKSI
N919NE,KMIA,EGSS
N588AT,DAAG,LPPT
AFR360V,LFPG,GMMN
VJT813,LKPR,KPDK
AFR4141,DAAG,LFPG
MLM026,EDDS,UAAA
AFR374V,LFPG,GOBD
AIC1978,UUDD,VIDP
OAE529,KPOB,EINN
SBI5004,ULLI,UNNT
DLH2C,EDDM,KORD
EVA066,LOWW,RCTP
SIA317,EGLL,WSSS
SIA7373,EHAM,WSSS
ETH3640,EBBR,RKSI
SBI2507,UUDD,UNNT
BAW281,EGLL,KHHR
ACA857,EGLL,CYYZ
AJT979,KCVG,EGNX
QFA9,YPPH,EGLL
SBI5032,UWWW,UNNT
N54PA,EINN,KIAD
GNESH,CARK,EGNH
ACA871,LFPG,CYUL
AFR376V,LFPG,DAAG
TAP9541,LPPT,KEWR
ACA873,EDDF,CYYZ
BAW295,EGLL,KORD
BAW117,EGLL,KJFK
ANA204,EDDF,RJTT
BAW173,EGLL,KJFK
AXE8611,UAAA,LZIB
ACA875,EDDF,CYUL
BAW17,EGLL,RKSI
AFR4146,DAAG,LFPG
AFR361V,LFPG,GMMN
BOX393,KCVG,EDDP
SOO097,KLAX,EDDP
DHK971,KJFK,EGNX
AFR5392,LFPG,KJFK
AFR006,LFPG,KJFK
BAW9155,EGLL,TBPB
FPO925F,LFLL,DAAG
DAL73,EHAM,KATL
BCS938,LFPG,GMMN
BAW209,EGLL,KMIA
FLJ612,LIML,OMAM
ETH3721,VHHH,EBBR
EAF9101,LBWN,UAAA
JAL42,EGLL,RJTT
AFR371V,LFPG,DAOO
SIA7977,EBBR,WSSS
CSN8192,EHAM,ZUCK
BAW287,EGLL,KSFO
TAM9522,EHAM,ZGGG
DAL135,EHAM,KDTW
BCS542,OBBI,EDDP
OAE600,KIAD,LRBS
SBI2514,UNNT,UUDD
SBI5006,ULLI,UNCC
DAH2778,DAAG,EDDM
AFR342,LFPG,CYUL
ICV8732,LIMC,UNNT
MSBUR,UUWW,UHBB
CSDOG,LEVC,DAOO
AZG789,KORD,EDFH
SBI2509,UUDD,UNCC
AFR4142,GMMN,LFPG
SVR3979,USSK,LIMC
BAW33K,EGLL,KJFK
LOT1003,EPWA,KORD
ABD4425,EGCN,VHHH
BAW16,WSSS,EGLL
BCS932,LEZL,GMTT
BAW193,EGLL,KDFW
ABD5310,FAOR,EBLG
AFR4148,DAAG,LFPG
AFR185,VHHH,LFPG
KAL530,EDDF,RKSI
BAW227,EGLL,KATL
AZG9971,VHHH,EDFH
BAW297,EGLL,KORD
BCS396,EDDP,KCVG
CAL061,RCTP,EDDF
BAW32,VHHH,EGLL
FPO952,DAAG,LFPG
ABX973,KCVG,EGNX
SIA322,WSSS,EGLL
IAE5501,UUDD,UHBB
VJT861,KFLL,LGAV
SIA324,WSSS,EHAM
WGN4401,EDDF,KORD
CAL073,RCTP,EHAM
BCS933,GMTT,LEZL
AZG784,KORD,EDFH
CAO1039,RJBB,EHAM
AFR4143,GMMT,LFPG
AIC1953,VIDP,UUDD
CSN467,ZGGG,EDDF
XOJ505,LMML,KMTP
PLM484P,LEMD,TBPB
TAM9550,SBGR,EHAM
BAW293,EGLL,KIAD
CSN347,ZGGG,LFPG
SVR349,UUDD,UHBB
BAW50G,EGLL,KBOS
KAL592,LEMD,RKSI
BAW99,EGLL,CYYZ
AFR4145,DAOO,LFPG
BCS939,GMMN,LFPG
CPA255,VHHH,EGLL
FRH522,KJFK,EBLG
AFR6738,LFPG,KORD
SBI3061,UUDD,UHBB
KAL541,RKSI,LOWW
SIA346,WSAC,LSZH
ETH3730,OMDW,EBBR
BAW31,EGLL,VHHH
BOX392,EDDP,KCVG
SIA325,EDDF,WSSS
AZA9450,LIRF,RKSI
JAL44,EGLL,RJTT
SQP3904,UAAA,UKBB
BAW55,EGLL,FATA
DAH2779,EDDM,DAAG
BAW246,SBGR,EGLL
AFR457,SBGR,LFPG
ABW239,UUEE,VHHH
DFC53C,UTTT,LKPR
EVA078,EHAM,RCTP
BCS978,EBBR,KCVG
AFR256,LFPG,WSSS
BAW11,EGLL,WSSS
CNV4661,KWRI,EGAA
DHK923,KMIA,EBBR
UTA9801,UDYZ,UUWW
KAL926,EHAM,RKSI
SDM6541,ULLI,UNCC
BAW244,SAEZ,EGLL
BAW3583,SBGR,EGLL
MLWSA,TJSJ,EDDH
BRU733,UMMS,UDYZ
AFR191,VOBL,LFPG
