Callsign, Origin, Destination
BCS3264,EKCH,ESGG
AZA1184,LICA,LIML
WZZ16BB,LROP,EGGW
DCAWR,LOWW,EDDV
SAS45J,EFTU,ESSA
WZZ2489,LHBP,UUWW
SAS1672,EDDV,EKCH
DLH9931,EDDM,EDDF
HOP80UV,LFRS,LFML
DLH5LX,LBSF,EDDF
WZZ568,EPWA,LIRF
IBK1YF,EFHK,EFOU
LOT85A,EPWR,EPWA
SAS31D,ESSA,LEBL
BTI8BC,EETN,ESSA
DLH7FM,EPWA,EDDM
DLH7P,LKPR,EDDF
RYR9KK,EYVI,LIME
AFR773G,LFRB,LFPG
BCS4852,EDDP,LJLJ
LDM3224,EDDL,LEMG
DLH2EJ,EDDH,EDDF
AZA6BC,LIBD,LIML
NVR157,ENGM,EKBI
BCS2882,EGNX,EIDW
WZZ100B,EPGD,ESKN
AFR762Q,LFBD,LFPG
AFR765U,LFLL,LFPG
WZZ980,LHBP,EDLW
SRR6118,EDDM,LGAV
DLH3WT,EBBR,EDDM
DLH3XV,EDDW,EDDM
WZZ402,LOWW,LEMD
IBK202,EFHK,ESSA
AEA1039,LEMG,LFPG
TRA6X,EHAM,GCLA
WZZ1EF,LHBP,EGGW
IBK514,EFHK,LEMG
SRR6382,LFML,LFBD
AFL2320,UUEE,EDDM
AFR38RB,ESSA,LFPG
DLH2UP,ESGG,EDDM
DLH3EJ,LGAV,EDDF
DLH18H,LEBL,EDDF
TAP933,LSZH,LPPT
FIN6TE,EFOU,EFHK
DLH305,LIMF,EDDF
EWG7766,EDDH,LSZH
DLH2V,LOWW,EDDF
NPT23J,EGNX,EGJJ
JAF96G,EBOS,LEAL
LGL5433,ELLX,EKCH
TAP641,EBBR,LPPT
TAP567C,EDDH,LPPT
WZZ302,LWSK,ESKN
DLH983,EIDW,EDDF
HBJSF,EDDS,ESNX
AFR772W,LFRS,LFPG
DLH4YX,EPKK,EDDM
SAS87T,ESGG,EKCH
FPO1255,LFPG,EDDP
DLH1YY,LHBP,EDDM
KLM1164,EFHK,EHAM
SAS620,EDDL,EKCH
SAS668,EDDS,EKCH
ANE65JU,LFBO,LEMD
PBD913,UUWW,EHEH
SAS87D,ENGM,LEMG
WZZ8,LBSF,EDLW
WZZ1DE,EPWA,EGGW
AFR27MM,LHBP,LFPG
DLH1WU,LIMF,EDDM
IBK9TV,LEMG,ESSA
SAS1783,EETN,ESSA
EZY4603,EDDB,LJLJ
RYR855Y,LIMC,LICA
DLH2CF,ENGM,EDDF
BCS2406,EGNX,EGAC
SDM6017,ULLI,UUWW
DLH01A,LFBO,EDDM
JAF88T,EBBR,LEMG
TAP551,EDDM,LPPT
HOP28WR,LFML,LFBD
SAS2762,EPWA,EKCH
BMS8SG,LROP,EDDS
DLH6VR,EKCH,EDDM
TAP573,EDDF,LPPT
WZZ5LZ,LHBP,LIMC
KLM74L,ESGG,EHAM
TVF27LN,LFPO,LGAV
WZZ6ML,LOWW,EDLW
WZZ1950,EPWR,EGGW
AFR88ZK,ENGM,LFPG
KLM26M,EDDV,EHAM
DLH95E,LPPT,EDDF
PBD805,UUWW,LIME
LZB971,LBSF,LBWN
EWG5EN,EDDL,LOWW
AZA3FH,LIBD,LIRF
IBK5420,LEAL,EFHK
SAS1461,ENGM,EKCH
AFL2580,UUEE,EGLL
AFR15JU,LFML,LFPO
RYR5ZL,EDDB,EKBI
TAP753A,EKCH,LPPT
KLM34Z,EDDL,EHAM
WZZ5DT,EPGD,EDLW
WZZ1LK,EPKT,EDLW
DLH8FN,LSGG,EDDM
TVF50KP,LFRS,LPFR
EDW146Z,LSZH,BKPR
SAS1740,EYVI,ESSA
AZO201,URRP,UUWW
AFL2437,EDDL,UUEE
SAS001,ESPA,ESSA
TAY036M,ESMS,EETN
SAS1280,EKBI,EKCH
RYR3Y,LEBL,LEMG
AZA1380,LIMJ,LIRF
WZZ341,LWSK,EDDB
AFR18RR,LFBO,LFPO
TAY274X,EDDE,EPGD
TAP949D,LSGG,LPPT
DLH092,EDDF,EDDM
TVF79KA,LFPO,LEMD
TAY987A,EDDM,EVRA
AFR26JE,LIRF,LFPG
WZZ1GA,EPGD,EGGW
DLH3HP,EPKT,EDDF
BCS2938,EGNX,EINN
DLH23U,LEMD,EDDF
BMS1YB,LROP,EDDK
DLH2TN,EDDH,EDDF
EWG8TC,LOWW,EDDN
BTI479,EVRA,LKPR
SRR6374,LFLL,LFBO
DLH1947,LIMJ,EDDM
WZZ126,LOWW,LPPT
KLM1350,LKPR,EHAM
DLH4KV,EDDV,EDDF
RYR1DT,LIME,LICA
KLM96F,EKCH,EHAM
BCS3788,EPGD,EETN
HOP41LG,LFBD,LFLL
RYR19NF,LIRA,LFOB
DLH4M,EDDH,EDDM
RYR6RR,LHBP,EGSS
DLH1YX,EDDC,EDDF
AZA11MR,LICA,LIRF
SAS1228,EKYT,EKCH
SAS099,ESNO,ESSA
DLH3EL,LIMC,EDDM
RYR7RQ,EDDB,LGAV
AZA317,LFPG,LIRF
AFL2536,UUEE,EDDL
DLH1MA,LHBP,EDDF
AFR74CJ,EKCH,LFPG
KLM20R,LIMF,EHAM
DLH55N,LFPG,EDDM
TAY012G,EGNX,EGAC
DLA2ED,LIPZ,EDDM
SAS130,ESMS,ESSA
HOP85QJ,LFST,LFML
TAP597,EDDS,LPPT
NAX4281,ESSA,EFHK
RYR82MB,EDDK,EKCH
RYR670T,EDDB,LIRA
DLH2712,EDDM,EDDH
LGL361G,ELLX,LSGG
ICE741,EGNX,BIKF
AFR21RX,LPPT,LFPG
WZZ909,LWSK,EHEH
TUI876,EDDL,EDDS
EZY979V,LFPG,LFBO
BTI13F,EVRA,EKCH
SAS32J,ESGG,ESSA
RYR3AX,LHBP,LIRA
TAP821,LIMC,LPPT
KLM52F,EPWA,EHAM
RYR8QZ,LIME,EKCH
RYR2AH,LEBL,EPMO
IBK3079,EKYT,EKCH
AFL2402,UUEE,LIRF
DLH37Y,EDDM,LFBO
DLH5JV,EDDL,EDDM
DLH4JT,EDDP,EDDF
DLH2HR,EDDK,EDDM
EWG3LL,LOWW,LIRF
EWG9210,EDDL,EDDS
RYR1778,LHBP,LEXJ
RYR8MD,LIEE,LIME
BCS1928,LFLL,LFBO
LGL9561,ELLX,EDDR
RYR1FY,EDDB,EGSS
EWG5AC,EDDH,EDDN
RYR49ME,LEMD,EDDB
HOP01EY,LFRS,LFLL
AFR66DJ,LFRQ,LFPO
BTI8GJ,EVRA,LFPG
BFD01K,EDLP,EDDF
TAP543E,EDDL,LPPT
RYR67NL,LEMG,ESKN
LZB461,LBSF,EHAM
WZZ5SR,EPPO,EGGW
RYR3011,LEMD,LFBO
WZZ867,LHBP,EBCI
FIN6KK,EFHK,ESGG
EZY26FV,LIMC,LFPG
DLH351,EDDW,EDDF
ANE8913,LFML,LEMD
ABW586,UUDD,UUEE
WZZ496,EPWA,LHBP
RYR7ED,EPWR,EGSS
EWG56U,EDDK,EDDC
SRR6566,EGNX,EGPH
EZY43GQ,EDDB,LEMG
EWG2JW,LOWW,EDDV
GSW6042,LSZH,BKPR
ABR3KT,EDDS,EPKT
RYR4B,EPMO,EDSB
BCS2215,EGSS,EDDK
GFM1T,ESPA,ESSA
DLH9EM,EDDM,EDDV
RYR39SD,LIRA,EGSS
RYR136M,EDDN,EGSS
RYR5993,LEMD,EGSS
EWG6QL,EDDM,EDDK
TAP1139,LEMG,LPPT
SAS027,ESNU,ESSA
BMS153,LROP,EKCH
AZA1432,LIMF,LIRF
WZZ9YU,EPWA,LIME
DLH855,EFHK,EDDF
TRA77A,EHAM,LOWS
TRA3A,EHAM,LPFR
FIN59U,EFHK,LFPG
SAS2178,ESTA,ESSA
RYR3956,LIRA,LROP
RYR7LM,LIMC,LICJ
SAS52A,EDDH,EKCH
DLH4CF,EDDF,LSZH
RYR82EJ,LEMD,LIRA
AFR51DP,LFRB,LFPO
WZZ4DX,EPGD,EHEH
LZB431,LBSF,LFPG
AFR32XJ,LIPZ,LFPG
BTI424,EVRA,UUEE
AFR1449,LEBL,LFPG
LDM65S,LOWW,LIRF
GISAR,EGNX,EGNS
RYR419Y,LIME,EGSS
ANE8529,LEPP,LEMD
KLM36L,ELLX,EHAM
WZZ918,EPKT,ESMS
AZA075,LEBL,LIRF
AFL2574,UUEE,EGLL
AZA1154,LICR,LIRF
WZZ3CG,LBSF,LIME
RYR4878,LIEE,LIRA
BCS872P,LIMC,EDDS
EWG2HA,EDDL,ESSA
AXG21,EGGW,EDDH
EZS25ZR,LSGG,LFQQ
RYR664A,EDDF,LGAV
AFR92HG,LSZH,LFPG
TAP837,LIRF,LPPT
BTI30W,EVRA,EFHK
AEA7161,LEMD,LEBB
VLG22TQ,LEZL,LEBL
EZY32QR,LIML,EGKK
DLH8MC,EDDM,EDDK
RYR7C,LIRA,EGCC
DLH6KY,EDDM,EDDH
SXD9G,EDDN,EDDS
AFR18DB,EPWA,LFPG
RYR30JJ,EBCI,LIME
RYR1AY,LIME,LIBR
WUK535,EGGW,EYKA
IBK57F,LEMG,EKCH
FIN8RK,EFHK,EKCH
IBE0443,LEBB,LEMD
EZY1402,LEBL,LSGG
EWG4FX,EDDS,LHBP
RYR42FE,EDDK,EGSS
NAX3AB,ESPA,ESSA
IBK5408,LEAL,EDDM
HOP10YI,LFBO,LFML
AZA564,LIML,LSGG
SAS1011,ESNS,ESSA
EZS1399,LSGG,LFPO
EZY85FU,LIPZ,EDDS
NAX4359,ESSA,LIMC
EWG8FZ,EDLW,EDDM
RYR19YG,LEBL,LFOB
RYR1057,EBCI,EPMO
