Callsign, Origin, Destination
SHT8B,EGLL,EGPH
AFL2106,UUEE,EETN
AFR37TT,LFBO,LFPO
TRA38K,EHRD,LEAL
AFR54RE,LFPO,LFBD
BAW699W,LOWW,EGLL
RYR93MN,EGSS,LIRA
AFR27QN,LFPG,LKPR
DLH6K,LSGG,EDDF
SBI794,EDDM,UUDD
IBE3195,EDDM,LEMD
LOT4TC,EPWA,LSGG
EWG79R,EDDH,EGLL
AFR15EQ,LFBO,LFPG
AFL012,UUEE,ULLI
SHT86L,EGLL,EGAC
EZY38JB,LIMC,EGKK
AFR112N,LFPG,LIPZ
RYR67HD,EPWR,LEMG
EZY49PB,LIMC,LIEE
AEA1515,LEMD,EDDM
EZY24BG,LFPG,EGKK
WOW2,BIKF,EGKK
AEA9059,LEMD,GCXO
BAW963,EDDH,EGLL
AZA1776,LICJ,LIRF
EZY59VK,LIPZ,EGKK
DLH7HX,EDDM,EDDK
AFR1680,LFPG,EGLL
SHT3G,EGCC,EGLL
DLH9H,EGLL,EDDF
IBE0471,LEAS,LEMD
AEA1091,LEMD,EHAM
IBE31TP,LPPT,LEMD
BAW723,LSGG,EGLL
OAL3IR,LGIR,LGAV
ANE87CC,LIPE,LEMD
RYR7JL,LEMG,EHEH
DLH2531,UUDD,EDDM
AFL2104,UUEE,EYVI
ANE17QY,LESO,LEMD
RYR739N,ESGG,LEMG
BAW561,LIML,EGLL
TAP1023,LEMD,LPPT
AEE13,LGAV,EDDF
AFR42MD,LFPG,EGCC
BAW36V,EGKK,LSGG
BAW84W,EGLL,EIDW
EZY16ZF,EGGW,LIMC
AFL1220,UUEE,UWGG
SAS2547,ESSA,EGCC
AFR56TQ,LFPG,LSZH
AFR17KP,LFPG,LFBO
AEE8ED,LGAV,EDDM
AFL2034,UUEE,LROP
IBE32BH,EBBR,LEMD
EZY21RB,EGGP,EGAA
DLH2VR,EGCC,EDDM
EZY967M,EGKK,LBSF
BAW771C,ESSA,EGLL
AFR61BX,EGLL,LFPG
AEA1043,LEMD,LIRF
RYR80GK,EDDB,LIBD
WOW3,BIKF,EKCH
IBS386C,LEMD,LEMG
EZY87KF,EGAA,EGKK
WZZ1AN,LIME,LRTR
TRA90B,EHRD,LEBL
EZY65PH,LIMC,LICA
AFL005,ULLI,UUEE
AFL2550,UUEE,EHAM
AEA78PZ,LEMD,LFPO
DLH1FL,EGLL,EDDM
EZY67MK,EGPH,LSGG
EZY76HD,EGCC,LEAL
TRA62N,EHEH,ESSA
BAW761,ENGM,EGLL
AEE5SZ,LGAV,LSZH
TAP434M,LPPT,LFPO
GMI88LT,EDDH,LPMA
SAS1530,EGLL,ESSA
IBE3239,LIRF,LEMD
AEA1445,LEMD,EDDL
AEE61CG,LGAV,LFPG
WZZ3BW,ESMS,EPGD
BAW885,LROP,EGLL
EZY32NP,EGKK,LIRF
AFL1438,UUEE,UWUU
LOT409,EPWA,EDDL
AFR124H,LFPG,EHAM
IBE31MH,EDDL,LEMD
BAW456,EGLL,LEMD
SDM6603,ULLI,LOWW
TVF55YN,LFPO,LPPT
AFL2610,UUEE,LJLJ
RYR4NF,EGNX,LELC
NAX804,ENGM,ESSA
EZY25UW,EGKK,LPFR
EZY82BE,EGCC,LEMG
NAX932,ENGM,EKCH
RYR11BT,EGPH,LIME
SHT7S,EGPF,EGLL
AFL2682,UUEE,EVRA
STK37BH,EICK,EGBB
IBS3954,LEMD,LEZL
RYR27QM,EDDL,LEMG
EZY96BN,EGGD,LEMG
TVF81RV,LFPO,LEMG
AZA229,EGLL,LIML
BAW947L,EDDM,EGLL
LOT281,EPWA,EGLL
KTK555,UUWW,EINN
AFR1338,LFPG,EDDV
SHT6C,EGLL,EGPF
BAW389,EBBR,EGLL
EZY52ZH,LEMD,EGKK
RYR32YZ,EGSS,LIMF
EZY23QA,EGKK,EGJJ
IBE32CP,LIPZ,LEMD
LOT411,EPWA,LSZH
NAX2XM,ENGM,EDDB
EZY2033,EGGW,LFBD
ANE64TK,LEMD,LFBO
AFL2336,UUEE,EDDS
RYR5JC,EGSS,LEMD
AEE9SF,LGAV,LBSF
EZY63UZ,LFPO,LIRN
EZY15GN,EGPF,EGAA
RYR90CU,EGNX,LMML
EZY659X,EGGD,EGPF
AFR63UM,EGLL,LFPG
LOT3KF,EPWA,EDDF
SPG006,LSGG,EGKK
AEE6LW,LGAV,EGKK
EZY65BA,EGKK,LEMG
BEL5FC,EBBR,LIRF
AFR1145,UUEE,LFPG
EZY16KH,EGCC,EDDB
SAS51M,EKCH,EGLL
EZY69MH,EGPH,EGGW
RYR8WH,EGSS,LFML
JAF2FK,EBCI,LEMG
EZY89PA,EGSS,EHAM
TOM25P,EGCN,LEAL
AFL2418,UUEE,LIRF
TAP441B,LFPO,LPPT
STK8DR,EIDW,EGGD
WOW6,BIKF,EIDW
AFL2168,UUEE,EBBR
BAW812,EGLL,EKCH
TAP1201,UUDD,LPPT
BAW16H,LHBP,EGLL
EZY81AT,LPPT,LPMA
PBD857,UUWW,LIPH
BAW423,EHAM,EGLL
RYR8XM,LROP,EGSS
EZY47EM,EGGD,EGPH
ANE90TJ,LEMD,LEAL
RYR7JC,LIRA,EPKK
BAW428,EGLL,EHAM
BAW76J,EGJJ,EGKK
AZA4MY,LIML,LIRF
BAW377,LFBO,EGLL
TAP844,LPPT,LIRF
IBE31EC,EDDF,LEMD
EZY59HU,EGPF,EGKK
WUK4487,EGGW,UKHH
EZY130,EGAA,EGCC
AEE5RF,LGAV,LIRF
EZY18DA,EGKK,LELC
TAP866,LPPT,LIPZ
EZY53TA,EGGD,EGAA
BAW710,EGLL,LSZH
STK2M,EICK,EGCC
RYR2M,LBSF,LGAV
EZY16TN,EGSS,LSGG
EZY1743,LFBO,LPFR
EZY31VU,EGPF,EGGW
EZY79QV,EGGW,LIRF
RYR8822,EINN,EYKA
TOM5EH,EGFF,LEAL
AEA22JU,LEMD,LIPZ
AEE6MP,LGAV,LIMC
TAP574R,LPPT,EDDF
RYR1684,ESKN,LMML
AFR75HC,LFPG,LIRF
WOW650,BIKF,LIMC
AEA85UR,LEMD,LIMC
RYR77DR,EPGD,LIME
DLH1EN,EDDF,LSZH
VKG1692,ESSA,LPMA
TUI74K,EDDS,LPMA
EZY232,EGPH,EGSS
WUK589,EGGW,LRSM
EZY869C,EDDB,LEBL
EZY14VM,EGKK,LEBL
EZY52NU,EGGP,EPKK
AZA1588,LIEE,LIRF
AHO945Y,EDDH,LIMC
EZY54HB,EGCC,LBSF
AEE2PT,LGAV,LPPT
TRA98H,EHEH,LEAL
SAS32J,ESGG,ESSA
EZY13JQ,EGGD,EPKK
BAW971,EDDV,EGLL
EZY72RX,EGGW,EDDB
IBS3743,LFPG,LEMD
EZY72NC,EGCC,EKCH
AEE624,LGAV,EHAM
SBI045,UUDD,ULLI
WZZ131,LIME,LROP
AZA1546,LIML,LIEE
BAW948M,EGLL,EDDM
EZY79EG,LPPT,EGKK
BAW964H,EGLL,EDDH
AEE764,LGAV,EFHK
DLH1LC,EDDF,EKCH
IBE0435,LEBB,LEMD
EZY41MG,EGGW,LFPG
EZY25BQ,EGAA,EGGW
IBK2402,EGKK,LEMG
BAW724,EGLL,LSGG
AZA1591,LIRF,LIEE
EZY7611,LPPT,LEMD
EZY56TC,EGCC,LFPG
BAW696V,EGLL,LOWW
AFL2060,UUEE,LBSF
AZA4RK,LIRF,LIML
IBK3550,EKCH,LHBP
RYR749,EPGD,EGBB
DLH3CJ,EDDM,EDDV
EZY78AJ,EGKK,LIMC
AEE7RN,LGAV,ESSA
SHT88J,EGAC,EGLL
AFL2380,UUEE,LSGG
AFR100T,LFPG,LEMD
BAW500,EGLL,LPPT
DLH8LA,EDDF,EDDH
DLH7TP,EDDM,EDDH
EZY15QU,EGCC,EHAM
IBS3721,EHAM,LEMD
AFL2596,UUEE,LIPZ
AZA058,LIRF,LEMD
DLA6MC,EDDM,LIMC
BAW936,EGLL,EDDL
EZY75AX,EGKK,EKCH
EZY74EL,EGSS,LJLJ
AEE638,LGAV,EGCC
SHT9U,EGPH,EGLL
BAW551,LIRF,EGLL
AFL2312,UUEE,EDDB
AEA98GX,LEMD,EGKK
IBK261,EKCH,EFHK
RYR1SG,EBCI,LPPT
EZY92XU,EGGD,LELC
EZY51XZ,EGGP,LSGG
TAP747,EFHK,LPPT
WZZ2ZN,EDLW,EPKT
DLH8MK,EDDM,EDDL
IBK1NH,LIRF,ESSA
TAP1316,LPPT,EGCC
EZY42PU,EGKK,LSZH
EZY155P,LFBO,LFPG
AZA79L,LIRF,LFPG
SAS595,EKCH,BIKF
BAW591,LIMC,EGLL
RYR6BV,EGSS,LZIB
RYR6047,EDLV,LEMG
AFL014,UUEE,ULLI
EWG7GT,EDDK,EDDM
EZY72RU,EDDB,ELLX
SAS821,ENGM,EHAM
RYR81BE,EDDF,LPPT
EZY79CU,EGKK,LIML
AEE7LD,LGAV,LEMD
AZA1516,LIML,LIEA
DLH44U,EDDM,LOWG
WZZ574,LHBP,EPWA
AFR88UF,LFPG,LFBD
BAW902N,EGLL,EDDF
DLH3TV,EDDF,EDDM
NAX1060,ENGM,EETN
SAS1553,ESSA,EHAM
AZA720,LIRF,LGAV
DLH3XA,EDDF,LIRQ
BAW776F,EGLL,ESSA
BAW303,LFPG,EGLL
EZY635,EGGP,EGNS
TAP1104,LPPT,LEZL
EZY34LT,EGAA,EGBB
DLH1VU,EDDS,EDDF
SHT2L,EGLL,EGCC
EZS91DC,LFBD,LSGG
AMC612,LMML,LIRF
SAS4713,ENGM,LIRF
AFL2454,UUEE,LFPG
AEE7BP,LGAV,LHBP
SDM6641,ULLI,EDDB
BAW499,LPPT,EGLL
EZY93KA,EGSS,LIRN
WZZ5BS,EPWA,LOWW
AZA490,LIRF,EPWA
EZY17CA,EGGW,LEMD
RYR40PJ,LIME,LEMD
DLH8F,LFPG,EDDF
EZY81WD,EGKK,LPMA
AFR74UA,LFPO,LFML
IBK5BV,LEMG,EGKK
STK1K,EIKY,EIDW
EZY25VE,EGCC,LPPT
EZS89CM,LSGG,LEMG
AZA48QQ,LIML,EDDL
AZA76Y,LIML,LFPO
BAW854,EGLL,LKPR
AFL2486,UUEE,LSZH
EZY38MU,EGPF,EGSS
EZY879P,LFPO,LFBO
TAP568,LPPT,EDDH
EZY581K,EGPH,EKCH
SAS71K,EKCH,LIMC
BAW564Y,EGLL,LIML
TAP1024,LPPT,LEMD
SAS50L,ESSA,LIMC
BAW304,EGLL,LFPG
EZY39TD,EGPH,LKPR
SAS2823,EKCH,LPFR
DLH4HP,EDDM,LGAV
AFL2346,UUEE,EDDH
WZZ2SE,LIPH,LROP
RYR45MV,LEMG,EGNT
