Callsign, Origin, Destination
EWG1113,KEWR,EDDL
AFR658,LFPG,OMDB
LOT67,EPWA,WSSS
DLH431,KORD,EDDF
IBE3329,GOBD,LEMD
BAW81V,KIAH,EGLL
AFR454,LFPG,SBGR
NRS8A,KPAE,EGKK
AFR274,LFPG,RJTK
BAW32N,KMIA,EGLL
BAW124,OBBI,EGLL
DAL9856,KMSP,EGLL
FDB1796,LROP,OMDB
BAW109,EGLL,OMDB
GFA017,OBBI,EDDF
IBE2604,SAEZ,LEBL
AFL111,KMIA,UUEE
AMX008,EGLL,MMMX
NAX4602,OMDB,ESSA
DLH427,KPHL,EDDF
GFA019,OBBI,LFPG
DLH411,KJFK,EDDM
IBE6166,KBOS,LEMD
BAW245,EGLL,SAEZ
IBE6274,KORD,LEMD
AFR228,LFPG,SAEZ
SAS940,KLAX,ESSA
DAL86,KONZ,EDDF
KTK7721,UUWW,VTBU
EVA076,EHAM,RCTP
DLH483,KTPA,EDDF
AFR719,GOBD,LFPG
AEA057,LEMD,SBGR
ABW508,KORD,EHAM
AFR990,LFPG,FABB
SVR2804,UCFM,UUDD
NRS7N,KFLL,EGKK
CGDTR,CYYZ,LSZH
IBE6011,LEMD,SUGA
DAL172,KJFK,LIMC
AFR442,LFPG,SDVL
IBE6409,LEMD,MMMX
ROT167,LROP,OLBA
BAW6W,KIAD,EGLL
AFL1893,UGTB,UUEE
IBE6841,LEMD,SAEZ
AFL525,OMDB,UUEE
WOW25R,CYUL,BIKF
EVA068,EGLL,RCTP
WOW21B,CYYZ,BIKF
FDB9RQ,OMDB,UUWW
DLH455,KSFO,EDDF
BAW20R,KORD,EGLL
WOW10H,KEWR,BIKF
DAL262,KJFK,LFPG
AFR345,CYUL,LFPG
AEA041,LEMD,SAEZ
DAL230,KRDU,LFPG
MMD2665,KCDW,ESSB
AFR083,KSFO,LFPG
GTI514,UAAA,EDFH
DLH2P,KSAN,EDDF
IBE6827,LEMD,SBGR
DLH481,KDEN,EDDM
AEA025,LEMD,SLVR
BEL52B,KJFK,EBBR
TAP087,LPPT,SBGR
AFR459,SBGR,LFPG
DLH419,KIAD,EDDF
AFR055,KIAD,LFPG
JAI233,CYYZ,EHAM
ACA874,CYUL,EDDF
CCA911,RJTT,ESSA
FDB3CF,OMDB,LKPR
GFA007,OBBI,EGLL
